grade,semester,unit,word,phonetic,pos,meaning,difficulty,tags
9,下,Unit1,novel,/ˈnɒvl/,n.,小说,2,名词
9,下,Unit1,poem,/ˈpəʊɪm/,n.,诗歌,1,名词
9,下,Unit1,fiction,/ˈfɪkʃn/,n.,小说；虚构作品,3,名词
9,下,Unit1,classic,/ˈklæsɪk/,n./adj.,经典作品；经典的,3,名词
9,下,Unit1,author,/ˈɔːθə(r)/,n.,作者,2,名词
9,下,Unit1,character,/ˈkærəktə(r)/,n.,人物；性格,2,名词
9,下,Unit1,plot,/plɒt/,n.,情节,3,名词
9,下,Unit1,theme,/θiːm/,n.,主题,3,名词
9,下,Unit1,summary,/ˈsʌməri/,n.,摘要；总结,3,名词
9,下,Unit1,conclusion,/kənˈkluːʒn/,n.,结论,3,名词
9,下,Unit1,argument,/ˈɑːɡjumənt/,n.,论点；争论,3,名词
9,下,Unit1,evidence,/ˈevɪdəns/,n.,证据,3,名词
9,下,Unit1,opinion,/əˈpɪnjən/,n.,观点,2,名词
9,下,Unit1,fact,/fækt/,n.,事实,1,名词
9,下,Unit1,mention,/ˈmenʃn/,v.,提到,2,动词
9,下,Unit1,quote,/kwəʊt/,v./n.,引用,3,动词
9,下,Unit2,life,/laɪf/,n.,生活；生命,1,名词
9,下,Unit2,hope,/həʊp/,n./v.,希望,1,名词
9,下,Unit2,confidence,/ˈkɒnfɪdəns/,n.,信心,2,名词
9,下,Unit2,independence,/ˌɪndɪˈpendəns/,n.,独立,3,名词
9,下,Unit2,gratitude,/ˈɡrætɪtjuːd/,n.,感激,3,名词
9,下,Unit2,determination,/dɪˌtɜːmɪˈneɪʃn/,n.,决心,3,名词
9,下,Unit2,perseverance,/ˌpɜːsɪˈvɪərəns/,n.,毅力,3,名词
9,下,Unit2,growth,/ɡrəʊθ/,n.,成长,2,名词
9,下,Unit2,adventure,/ədˈventʃə(r)/,n.,冒险,2,名词
9,下,Unit2,meaning,/ˈmiːnɪŋ/,n.,意义；意思,2,名词
9,下,Unit2,purpose,/ˈpɜːpəs/,n.,目的,3,名词
9,下,Unit2,balance,/ˈbæləns/,n./v.,平衡,2,名词
9,下,Unit2,priority,/praɪˈɒrəti/,n.,优先事项,3,名词
9,下,Unit2,success,/səkˈses/,n.,成功,1,名词
9,下,Unit2,situation,/ˌsɪtʃuˈeɪʃn/,n.,情况；形势,2,名词
9,下,Unit2,condition,/kənˈdɪʃn/,n.,条件,2,名词
9,下,Unit2,result,/rɪˈzʌlt/,n.,结果,1,名词
9,下,Unit2,reason,/ˈriːzn/,n.,原因,1,名词
9,下,Unit2,cause,/kɔːz/,n./v.,起因；导致,2,名词
9,下,Unit2,effect,/ɪˈfekt/,n.,影响；效果,2,名词
9,下,Unit2,influence,/ˈɪnfluəns/,n./v.,影响,2,名词
9,下,Unit2,change,/tʃeɪndʒ/,v./n.,改变,1,动词
9,下,Unit2,develop,/dɪˈveləp/,v.,发展,2,动词
9,下,Unit3,although,/ɔːlˈðəʊ/,conj.,虽然,2,连词
9,下,Unit3,unless,/ənˈles/,conj.,除非,2,连词
9,下,Unit3,whether,/ˈweðə(r)/,conj.,是否,2,连词
9,下,Unit3,however,/haʊˈevə(r)/,adv.,然而,2,副词
9,下,Unit3,therefore,/ˈðeəfɔː(r)/,adv.,因此,3,副词
9,下,Unit3,besides,/bɪˈsaɪdz/,adv./prep.,此外,2,副词
9,下,Unit3,instead,/ɪnˈsted/,adv.,代替,2,副词
9,下,Unit3,suddenly,/ˈsʌdənli/,adv.,突然,1,副词
9,下,Unit3,probably,/ˈprɒbəbli/,adv.,可能地,2,副词
9,下,Unit3,certainly,/ˈsɜːtnli/,adv.,当然；确定地,2,副词
9,下,Unit3,perhaps,/pəˈhæps/,adv.,也许,2,副词
9,下,Unit3,nearly,/ˈnɪəli/,adv.,几乎；接近,2,副词
9,下,Unit3,almost,/ˈɔːlməʊst/,adv.,几乎,2,副词
9,下,Unit3,hardly,/ˈhɑːdli/,adv.,几乎不,2,副词
9,下,Unit3,simply,/ˈsɪmpli/,adv.,仅仅；简单地,2,副词
9,下,Unit3,totally,/ˈtəʊtəli/,adv.,完全地,2,副词
9,下,Unit3,completely,/kəmˈpliːtli/,adv.,彻底地,3,副词
9,下,Unit3,especially,/ɪˈspeʃəli/,adv.,尤其,2,副词
9,下,Unit3,gradually,/ˈɡrædʒuəli/,adv.,逐渐地,3,副词
9,下,Unit3,finally,/ˈfaɪnəli/,adv.,最后,1,副词
9,下,Unit3,immediately,/ɪˈmiːdiətli/,adv.,立即,2,副词
9,下,Unit3,recently,/ˈriːsntli/,adv.,最近,2,副词
9,下,Unit3,abroad,/əˈbrɔːd/,adv.,在国外,2,副词
9,下,Unit3,somewhere,/ˈsʌmweə(r)/,adv.,某处,1,副词
9,下,Unit3,anywhere,/ˈeniweə(r)/,adv.,任何地方,1,副词
